,r1t1,r1t2,r1t3,r1t4,r2t1,r2t2,r2t3,r2t4
0,0.8571428571428571,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.9,0.875,0.6666666666666666,0.5833333333333334
1,0.5555555555555556,0.9285714285714286,0.25,0.8571428571428571,0.9285714285714286,0.4444444444444444,0.9,0.5714285714285714
2,0.8571428571428571,0.4285714285714285,0.5833333333333334,0.6923076923076923,0.5,0.875,0.6666666666666666,0.8333333333333334
3,0.7142857142857143,0.8571428571428571,0.3333333333333333,0.8461538461538461,0.5,0.75,0.8888888888888888,0.6666666666666666
4,0.6428571428571429,0.7142857142857143,0.8333333333333334,0.8461538461538461,0.8,0.75,0.4444444444444444,0.5
5,0.7142857142857143,0.7857142857142857,0.3333333333333333,0.9333333333333332,0.4,0.625,0.625,0.6666666666666666
6,0.7857142857142857,0.5384615384615384,0.8125,0.75,0.7857142857142857,0.75,0.6,0.8
7,0.7777777777777778,0.7142857142857143,0.5,0.4285714285714285,0.7857142857142857,0.7777777777777778,0.6,0.7142857142857143
8,0.7142857142857143,0.8571428571428571,0.4,0.8666666666666667,0.1333333333333333,0.625,0.625,0.6666666666666666
9,0.5714285714285714,0.7142857142857143,0.7333333333333333,0.9333333333333332,0.4,0.75,0.875,0.5
10,0.9285714285714286,0.9285714285714286,0.4166666666666667,0.9230769230769232,0.6,0.75,0.7777777777777778,0.6666666666666666
11,0.8888888888888888,0.6428571428571429,0.25,0.5714285714285714,0.7142857142857143,0.8888888888888888,0.5,0.8571428571428571
12,0.7142857142857143,0.8571428571428571,0.6666666666666666,0.4,0.8666666666666667,0.875,0.625,0.0
13,0.9285714285714286,1.0,0.625,0.875,0.0,0.3333333333333333,0.7,0.9
14,0.6428571428571429,1.0,0.4666666666666667,0.8666666666666667,0.3333333333333333,0.625,0.625,0.5
15,0.7857142857142857,0.7857142857142857,0.6,0.8,0.6666666666666666,0.625,0.875,0.6666666666666666
16,0.8181818181818182,0.8461538461538461,0.8181818181818182,0.8571428571428571,0.6,0.7272727272727273,0.5,0.9166666666666666
17,0.7142857142857143,0.7857142857142857,0.6666666666666666,0.6,0.5333333333333333,0.625,1.0,0.5
18,0.7857142857142857,0.9230769230769232,0.9375,0.6875,0.9285714285714286,0.75,0.8,0.7
19,0.7777777777777778,0.7142857142857143,0.75,0.5714285714285714,0.5714285714285714,0.8888888888888888,0.5,0.7142857142857143
20,0.7142857142857143,0.5384615384615384,0.8125,0.75,0.7142857142857143,0.75,0.6,0.8
21,0.7142857142857143,0.9230769230769232,0.875,0.6875,0.8571428571428571,0.8333333333333334,0.7,0.7
22,0.6428571428571429,0.6428571428571429,0.75,0.8461538461538461,0.8,0.75,0.5555555555555556,0.5833333333333334
23,0.8888888888888888,0.7142857142857143,0.75,0.4285714285714285,0.7142857142857143,0.7777777777777778,0.6,0.7142857142857143
24,0.7857142857142857,0.8461538461538461,0.625,0.5625,0.8571428571428571,0.6666666666666666,0.7,0.3
25,0.7142857142857143,0.9230769230769232,0.8125,0.75,0.8571428571428571,0.8333333333333334,0.7,0.7
26,0.7142857142857143,0.8571428571428571,0.4,0.8666666666666667,0.1333333333333333,0.625,0.625,0.6666666666666666
27,0.8571428571428571,0.5,0.5833333333333334,0.6923076923076923,0.5,0.875,0.6666666666666666,0.8333333333333334
28,0.8571428571428571,0.5714285714285714,0.9166666666666666,0.6923076923076923,0.5,0.875,0.6666666666666666,0.8333333333333334
29,0.7142857142857143,0.8461538461538461,0.8125,0.625,0.8571428571428571,0.75,1.0,0.4
30,0.5,0.8571428571428571,0.4166666666666667,0.5384615384615384,0.8,0.75,0.8888888888888888,0.5
31,0.5714285714285714,0.8571428571428571,0.2666666666666666,0.9333333333333332,0.1333333333333333,0.625,0.625,0.5
32,0.9285714285714286,1.0,0.625,0.875,0.0714285714285714,0.3333333333333333,0.7,0.9
33,0.6428571428571429,0.8571428571428571,0.3333333333333333,0.9230769230769232,0.7,0.75,0.8888888888888888,0.5
34,0.7777777777777778,0.6428571428571429,0.5,0.5714285714285714,0.5,0.8888888888888888,0.7,0.8571428571428571
35,0.7142857142857143,0.7857142857142857,0.6666666666666666,0.9333333333333332,0.4666666666666667,0.75,0.875,0.5
36,0.6428571428571429,0.8571428571428571,0.1333333333333333,0.8666666666666667,0.6,0.625,0.375,0.5
37,0.8888888888888888,0.5714285714285714,0.75,0.1428571428571428,0.7142857142857143,0.8888888888888888,0.5,0.7142857142857143
38,0.7857142857142857,0.9230769230769232,0.875,0.5625,0.8571428571428571,0.75,0.8,0.6
39,0.8888888888888888,0.7142857142857143,0.75,0.4285714285714285,0.5714285714285714,0.7777777777777778,0.7,0.8571428571428571
40,0.3571428571428571,0.5714285714285714,0.4166666666666667,0.6923076923076923,0.6,0.875,0.6666666666666666,0.9166666666666666
41,0.5,0.7142857142857143,0.8333333333333334,0.5384615384615384,0.8,0.75,0.4444444444444444,0.6666666666666666
42,0.5714285714285714,0.7857142857142857,0.7333333333333333,0.6666666666666666,0.4666666666666667,0.125,0.875,0.6666666666666666
43,0.7777777777777778,0.7142857142857143,0.5,0.4285714285714285,0.6428571428571429,0.7777777777777778,0.5,0.8571428571428571
44,0.7142857142857143,0.7857142857142857,0.4666666666666667,0.9333333333333332,0.4666666666666667,0.625,0.625,0.6666666666666666
45,0.9285714285714286,1.0,0.625,0.875,0.0,0.3333333333333333,0.7,1.0
46,0.6666666666666666,0.5,0.5,0.5714285714285714,0.7857142857142857,0.7777777777777778,0.6,0.7142857142857143
47,0.7857142857142857,0.8571428571428571,0.4166666666666667,0.9230769230769232,0.6,0.75,0.6666666666666666,0.5833333333333334
48,0.5714285714285714,0.7142857142857143,0.9166666666666666,0.9230769230769232,0.9,0.75,0.6666666666666666,0.4166666666666667
49,0.6428571428571429,0.5714285714285714,0.75,0.7692307692307693,0.5,0.875,0.6666666666666666,0.9166666666666666
50,0.6428571428571429,0.7142857142857143,0.7333333333333333,0.8666666666666667,0.4,0.625,0.875,0.5
51,0.5,0.7857142857142857,0.4166666666666667,0.6923076923076923,0.8,0.875,0.7777777777777778,0.6666666666666666
52,0.8888888888888888,0.3571428571428571,0.75,0.5714285714285714,0.7857142857142857,0.7777777777777778,0.6,0.8571428571428571
53,0.5,0.8571428571428571,0.3333333333333333,0.8461538461538461,0.7,0.75,1.0,0.75
54,0.9285714285714286,0.5714285714285714,0.9166666666666666,0.6923076923076923,0.5,0.875,0.6666666666666666,0.8333333333333334
55,0.9285714285714286,0.7857142857142857,0.8333333333333334,0.7692307692307693,0.5,0.875,0.6666666666666666,0.8333333333333334
56,0.5714285714285714,0.8571428571428571,0.25,0.9230769230769232,0.8,0.75,0.7777777777777778,0.6666666666666666
57,0.7142857142857143,0.8571428571428571,0.6666666666666666,0.4,0.8666666666666667,0.875,0.5,0.0
58,0.8888888888888888,0.3571428571428571,0.25,0.7142857142857143,0.8571428571428571,0.8888888888888888,0.4,0.8571428571428571
59,0.7142857142857143,0.8571428571428571,0.6666666666666666,0.4,0.8666666666666667,0.875,0.625,0.0
60,0.6428571428571429,0.7857142857142857,0.8333333333333334,0.9230769230769232,0.8,0.875,0.6666666666666666,0.5833333333333334
61,0.9285714285714286,1.0,0.625,0.875,0.0,0.3333333333333333,0.7,0.9
62,0.7777777777777778,0.7142857142857143,0.75,0.2857142857142857,0.5714285714285714,0.8888888888888888,0.6,0.8571428571428571
63,0.7142857142857143,0.8571428571428571,0.6666666666666666,0.4,0.9333333333333332,0.875,0.625,0.0
64,0.9285714285714286,1.0,0.625,0.875,0.0,0.3333333333333333,0.7,1.0
65,0.7857142857142857,0.8571428571428571,0.4666666666666667,0.8666666666666667,0.3333333333333333,0.625,0.625,0.5
66,0.6428571428571429,0.7857142857142857,0.4,0.8666666666666667,0.6,0.75,0.625,0.5
67,0.8571428571428571,0.4285714285714285,0.5833333333333334,0.6923076923076923,0.5,0.875,0.6666666666666666,0.8333333333333334
68,0.3571428571428571,0.8571428571428571,0.4666666666666667,0.9333333333333332,0.8,0.75,0.625,0.5
69,0.6428571428571429,0.4615384615384615,0.875,0.6875,0.8571428571428571,0.6666666666666666,0.6,0.9
70,0.8571428571428571,0.4285714285714285,0.5833333333333334,0.6923076923076923,0.5,0.875,0.6666666666666666,0.8333333333333334
71,0.8571428571428571,0.5714285714285714,0.9166666666666666,0.6923076923076923,0.5,0.875,0.6666666666666666,0.8333333333333334
72,0.4285714285714285,0.7857142857142857,0.2666666666666666,0.9333333333333332,0.3333333333333333,0.625,0.625,0.5
73,0.6428571428571429,0.3571428571428571,0.8333333333333334,0.7692307692307693,0.5,0.875,0.6666666666666666,0.8333333333333334
74,0.8571428571428571,0.8461538461538461,0.875,0.3125,0.8571428571428571,0.9166666666666666,0.7,0.8
75,0.6428571428571429,0.8571428571428571,0.6666666666666666,0.8461538461538461,0.5,0.75,0.8888888888888888,0.5
76,0.7857142857142857,0.8571428571428571,0.3333333333333333,0.9230769230769232,0.7,0.875,0.8888888888888888,0.5833333333333334
77,0.6428571428571429,0.7857142857142857,0.6666666666666666,0.8,0.6,0.625,1.0,0.5
78,0.7857142857142857,0.7857142857142857,0.6666666666666666,0.8,0.8,0.625,0.875,0.6666666666666666
79,0.7857142857142857,0.7857142857142857,0.5333333333333333,0.8,0.3333333333333333,0.75,0.5,0.5
80,0.8571428571428571,0.5714285714285714,0.9166666666666666,0.6923076923076923,0.5,0.875,0.6666666666666666,0.8333333333333334
81,0.9285714285714286,1.0,0.625,0.875,0.0,0.3333333333333333,0.7,0.9
82,0.7142857142857143,0.8571428571428571,0.6666666666666666,0.4666666666666667,0.8666666666666667,0.875,0.625,0.0
83,0.7857142857142857,0.8571428571428571,0.1333333333333333,0.8666666666666667,0.6666666666666666,0.625,0.75,0.5
84,0.7857142857142857,0.7692307692307693,0.9375,0.25,0.8571428571428571,0.6666666666666666,0.7,0.7
85,0.2142857142857142,0.7857142857142857,0.7333333333333333,0.8666666666666667,0.7333333333333333,0.75,0.875,0.5
86,0.3571428571428571,0.7857142857142857,0.5333333333333333,0.8666666666666667,0.4,0.625,0.625,0.5
87,0.6428571428571429,0.8571428571428571,0.4,0.9333333333333332,0.5333333333333333,0.75,0.625,0.5
88,0.7142857142857143,0.7142857142857143,0.7333333333333333,0.8,0.5333333333333333,0.625,0.875,0.5
89,0.8571428571428571,0.3846153846153846,0.8125,0.6875,0.7857142857142857,0.75,0.6,0.9
90,0.4285714285714285,0.7857142857142857,0.5,0.9230769230769232,0.8,0.875,0.7777777777777778,0.5833333333333334
91,0.7142857142857143,0.8571428571428571,0.6666666666666666,0.4,0.8666666666666667,0.875,0.625,0.0
92,0.8888888888888888,0.7142857142857143,0.75,0.4285714285714285,0.8571428571428571,0.8888888888888888,0.5,0.8571428571428571
93,0.5555555555555556,0.9285714285714286,0.25,0.8571428571428571,0.9285714285714286,0.3333333333333333,0.8,0.5714285714285714
94,0.8571428571428571,0.3846153846153846,0.8125,0.5625,0.5714285714285714,0.6666666666666666,0.2,0.6
95,0.4285714285714285,0.7857142857142857,0.9166666666666666,0.6923076923076923,0.8,0.875,0.5555555555555556,0.6666666666666666
96,0.7142857142857143,0.7142857142857143,0.7333333333333333,0.8666666666666667,0.6,0.625,0.875,0.5
97,0.6428571428571429,0.7857142857142857,0.7333333333333333,0.8666666666666667,0.4666666666666667,0.625,0.875,0.5
98,0.5454545454545454,0.6923076923076923,0.7272727272727273,0.5714285714285714,0.9333333333333332,0.7272727272727273,0.8333333333333334,0.9166666666666666
99,0.7142857142857143,0.7857142857142857,0.2666666666666666,0.9333333333333332,0.4,0.625,0.625,0.6666666666666666
100,0.7857142857142857,0.5384615384615384,0.8125,0.625,0.7142857142857143,0.75,0.4,0.4
101,0.5714285714285714,0.7142857142857143,0.6666666666666666,0.6,0.6666666666666666,0.125,1.0,0.8333333333333334
102,0.5714285714285714,0.8571428571428571,0.5,0.6923076923076923,0.7,0.625,0.8888888888888888,0.75
103,0.7142857142857143,0.6153846153846154,0.875,0.5,0.7857142857142857,0.75,0.5,0.8
104,0.7272727272727273,0.7692307692307693,0.8181818181818182,0.5714285714285714,0.7333333333333333,0.4545454545454545,0.8333333333333334,0.9166666666666666
105,0.8888888888888888,0.5714285714285714,0.5,0.5714285714285714,0.7142857142857143,0.8888888888888888,0.6,0.8571428571428571
106,0.8571428571428571,0.5714285714285714,0.9166666666666666,0.6923076923076923,0.5,0.875,0.6666666666666666,0.8333333333333334
107,0.8571428571428571,0.2307692307692307,0.8125,0.5625,0.7857142857142857,0.6666666666666666,0.3,0.4
108,0.8888888888888888,0.7142857142857143,0.75,0.5714285714285714,0.7142857142857143,0.7777777777777778,0.5,0.7142857142857143
109,0.7142857142857143,0.8571428571428571,0.6666666666666666,0.4,0.8666666666666667,0.875,0.5,0.0
110,0.7142857142857143,0.8571428571428571,0.6666666666666666,0.4,0.8666666666666667,0.875,0.625,0.0
111,0.8571428571428571,0.5714285714285714,0.9166666666666666,0.6923076923076923,0.5,0.875,0.6666666666666666,0.8333333333333334
112,0.7142857142857143,0.7857142857142857,0.4666666666666667,0.9333333333333332,0.2,0.625,0.625,0.5
113,0.7272727272727273,0.4615384615384615,0.6363636363636364,1.0,0.4,0.8181818181818182,0.75,0.9166666666666666
114,0.7142857142857143,0.7142857142857143,0.7333333333333333,0.8,0.5333333333333333,0.625,0.875,0.5
115,0.9285714285714286,1.0,0.625,0.875,0.1428571428571428,0.1666666666666666,0.7,0.9
116,0.8571428571428571,0.5,0.6666666666666666,0.6923076923076923,0.4,0.875,0.6666666666666666,0.8333333333333334
117,0.7142857142857143,0.8571428571428571,0.6,0.8666666666666667,0.6666666666666666,0.625,0.875,0.6666666666666666
118,0.6428571428571429,0.7857142857142857,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.625,1.0,0.5
119,0.7857142857142857,0.8571428571428571,0.6,0.8666666666666667,0.3333333333333333,0.625,0.875,0.5
120,0.6428571428571429,0.9230769230769232,0.8125,0.75,0.9285714285714286,0.8333333333333334,0.7,0.7
121,0.7142857142857143,0.7857142857142857,0.4666666666666667,0.8666666666666667,0.5333333333333333,0.75,0.625,0.5
122,0.8888888888888888,0.5,0.75,0.5714285714285714,0.8571428571428571,0.8888888888888888,0.5,0.7142857142857143
123,0.7857142857142857,0.5384615384615384,0.8125,0.6875,0.7142857142857143,0.75,0.6,0.8
124,0.3571428571428571,0.7857142857142857,0.4166666666666667,0.9230769230769232,0.9,0.875,0.7777777777777778,0.6666666666666666
125,0.9285714285714286,0.5714285714285714,0.9166666666666666,0.6923076923076923,0.5,0.875,0.6666666666666666,0.8333333333333334
126,0.9285714285714286,0.7142857142857143,0.8333333333333334,0.8461538461538461,0.4,0.875,0.6666666666666666,0.8333333333333334
127,0.6666666666666666,0.5,0.75,0.5714285714285714,0.5714285714285714,0.7777777777777778,0.5,0.8571428571428571
128,0.8888888888888888,0.5,0.5,0.5714285714285714,0.8571428571428571,0.7777777777777778,0.6,0.8571428571428571
129,0.7142857142857143,0.9230769230769232,0.75,0.6875,0.9285714285714286,0.75,0.7,0.7
