,N_People
2993,0
2994,8
2995,7
2996,0
2997,1
2998,9
2999,2
3000,0
3001,0
3002,8
3003,8
3004,7
3005,7
3006,4
3007,0
3008,6
3009,7
3010,8
3011,8
3012,0
3013,11
3014,11
3015,10
3016,8
3017,0
3018,11
3019,7
3020,1
3021,8
3022,7
3023,8
3024,7
3025,8
3026,7
3027,0
3028,2
3029,8
3030,5
3031,6
3032,7
3033,8
3034,8
3035,0
3036,1
3037,9
3038,1
3039,7
3040,7
3041,7
3042,6
3043,9
3044,2
3045,8
3046,0
3047,3
3048,8
3049,1
3050,7
3051,8
3052,1
3053,9
3054,5
3055,11
3056,6
3057,7
3058,6
3059,3
3060,8
3061,8
3062,4
3063,7
3064,6
3065,3
3066,0
3067,7
3068,6
3069,11
3070,5
3071,0
3072,7
3073,6
3074,7
3075,11
3076,5
3077,8
3078,4
3079,5
3080,7
3081,0
3082,3
3083,8
3084,11
3085,2
3086,8
3087,11
3088,0
3089,5
3090,5
3091,7
3092,11
3093,7
3094,0
3095,0
3096,8
3097,11
3098,2
3099,11
3100,7
3101,9
3102,1
3103,2
3104,7
3105,11
3106,11
3107,0
3108,8
3109,9
3110,8
3111,8
3112,7
3113,11
3114,1
3115,6
3116,8
3117,8
3118,0
3119,11
3120,1
3121,10
3122,0
3123,11
3124,7
3125,1
3126,7
3127,4
3128,11
3129,0
3130,6
3131,8
3132,8
3133,6
3134,9
3135,4
3136,8
3137,0
3138,1
3139,1
3140,2
3141,6
3142,7
3143,7
3144,1
3145,11
3146,6
3147,6
3148,7
3149,9
3150,6
3151,3
3152,6
3153,7
3154,7
3155,3
3156,0
3157,7
3158,10
3159,0
3160,8
3161,5
3162,8
3163,8
3164,2
3165,0
3166,11
3167,11
3168,6
3169,8
3170,8
3171,8
3172,3
3173,4
3174,11
3175,11
3176,2
3177,7
3178,3
3179,10
3180,7
3181,5
3182,7
3183,9
3184,11
3185,2
3186,7
3187,2
3188,9
3189,8
3190,0
3191,0
3192,11
3193,2
3194,1
3195,7
3196,7
3197,11
3198,10
3199,7
3200,5
3201,9
3202,7
3203,10
3204,11
3205,2
3206,9
3207,2
3208,7
3209,11
3210,6
3211,0
3212,7
3213,10
3214,9
3215,5
3216,0
3217,11
3218,0
3219,4
3220,11
3221,7
3222,8
3223,0
3224,3
3225,5
3226,11
3227,1
3228,6
3229,11
3230,4
3231,0
3232,8
3233,8
3234,4
3235,2
3236,2
3237,7
3238,0
3239,11
3240,0
3241,0
3242,7
3243,8
3244,7
3245,11
3246,8
3247,8
3248,7
3249,11
3250,8
3251,8
3252,8
3253,6
3254,0
3255,6
3256,0
3257,7
3258,11
3259,4
3260,5
3261,7
3262,0
3263,8
3264,10
3265,5
3266,11
3267,11
3268,10
3269,6
3270,8
3271,8
3272,5
3273,7
3274,8
3275,11
3276,5
3277,7
3278,1
3279,8
3280,7
3281,5
3282,0
3283,7
3284,8
3285,8
3286,7
3287,0
3288,6
3289,8
3290,8
3291,3
3292,0
3293,2
3294,7
3295,11
3296,5
3297,5
3298,0
3299,4
3300,8
3301,11
3302,2
3303,2
3304,8
3305,5
3306,7
3307,0
3308,8
3309,6
3310,4
3311,7
3312,8
3313,6
3314,6
3315,8
3316,8
3317,8
3318,7
3319,6
3320,2
3321,4
3322,0
3323,8
3324,8
3325,8
3326,8
3327,7
3328,7
3329,10
3330,0
3331,6
3332,6
3333,8
3334,8
3335,3
3336,6
3337,11
3338,7
3339,7
3340,7
3341,10
3342,2
3343,1
3344,2
3345,6
3346,0
3347,7
3348,7
3349,2
3350,11
3351,6
3352,11
3353,8
3354,0
3355,8
3356,8
3357,6
3358,11
3359,1
3360,0
3361,0
3362,5
3363,7
3364,11
3365,2
3366,8
3367,5
3368,8
3369,9
3370,5
3371,7
3372,8
3373,2
3374,5
3375,6
3376,8
3377,8
3378,2
3379,0
3380,1
3381,0
3382,7
3383,5
3384,8
3385,7
3386,6
3387,9
3388,8
3389,8
3390,2
3391,9
3392,9
3393,2
3394,5
3395,7
3396,6
3397,5
3398,8
3399,0
3400,8
3401,0
3402,8
3403,2
3404,0
3405,8
3406,7
3407,8
3408,5
3409,8
3410,7
3411,2
3412,0
3413,6
3414,11
3415,3
3416,3
3417,1
3418,11
3419,0
3420,8
3421,0
3422,0
3423,0
3424,0
3425,0
3426,6
3427,2
3428,0
3429,7
3430,8
3431,6
3432,8
3433,5
3434,3
3435,6
3436,7
3437,8
3438,5
3439,5
3440,0
3441,3
3442,0
3443,0
3444,3
3445,5
3446,2
3447,5
3448,0
3449,6
3450,7
3451,8
3452,8
3453,11
3454,7
3455,11
3456,0
3457,9
3458,11
3459,0
3460,11
3461,2
3462,6
3463,7
3464,7
3465,7
3466,5
3467,0
3468,10
3469,6
3470,8
3471,8
3472,9
3473,8
3474,8
3475,9
3476,7
3477,7
3478,11
3479,5
3480,0
3481,5
3482,6
3483,0
3484,10
3485,7
3486,2
3487,0
3488,0
3489,7
3490,0
3491,11
3492,7
3493,8
3494,8
3495,7
3496,11
3497,7
3498,11
3499,10
3500,8
3501,1
3502,11
3503,10
3504,0
3505,2
3506,11
3507,5
3508,0
3509,11
3510,8
3511,0
3512,0
3513,7
3514,0
3515,5
3516,0
3517,7
3518,11
3519,5
3520,4
3521,11
3522,0
3523,0
3524,0
3525,4
3526,8
3527,8
3528,3
3529,11
3530,7
3531,8
3532,7
3533,6
3534,5
3535,10
3536,11
3537,0
3538,7
3539,8
3540,7
3541,11
3542,11
3543,0
3544,8
3545,11
3546,0
3547,8
3548,7
3549,7
3550,0
3551,6
3552,8
3553,7
3554,9
3555,2
3556,2
3557,8
3558,8
3559,0
3560,0
3561,7
3562,2
3563,6
3564,5
3565,9
3566,11
3567,8
3568,6
3569,11
3570,6
3571,9
3572,7
3573,7
3574,0
3575,11
3576,11
3577,2
3578,0
3579,0
3580,0
3581,3
3582,2
3583,11
3584,2
3585,5
3586,5
3587,7
3588,6
3589,0
3590,11
3591,11
3592,0
3593,8
3594,3
3595,5
3596,11
3597,6
3598,7
3599,6
3600,0
3601,8
3602,4
3603,0
3604,11
3605,11
3606,2
3607,6
3608,7
3609,6
3610,6
3611,6
3612,5
3613,0
3614,5
3615,4
3616,7
3617,0
3618,6
3619,0
3620,11
3621,1
3622,2
3623,7
3624,7
3625,11
3626,0
3627,7
3628,2
3629,11
3630,1
3631,5
3632,7
3633,8
3634,0
3635,11
3636,5
3637,7
3638,0
3639,0
3640,5
3641,6
3642,11
3643,8
3644,2
3645,9
3646,8
3647,3
3648,7
3649,8
3650,6
3651,5
3652,0
3653,10
3654,8
3655,3
3656,11
3657,6
3658,5
3659,0
3660,11
3661,11
3662,6
3663,0
3664,7
3665,11
3666,8
3667,4
3668,0
3669,0
3670,11
3671,7
3672,8
3673,8
3674,7
3675,0
3676,6
3677,6
3678,6
3679,5
3680,7
3681,8
3682,11
3683,8
3684,11
3685,2
3686,5
3687,9
3688,7
3689,0
3690,6
3691,1
3692,5
3693,9
3694,0
3695,7
3696,4
3697,7
3698,7
3699,4
3700,11
3701,7
3702,0
3703,8
3704,4
3705,0
3706,8
3707,5
3708,8
3709,11
3710,8
3711,6
3712,3
3713,11
3714,8
3715,7
3716,0
3717,8
3718,9
3719,5
3720,6
3721,7
3722,0
3723,1
3724,2
3725,2
3726,0
3727,0
3728,1
3729,2
3730,7
3731,11
3732,11
3733,7
3734,7
3735,6
3736,10
3737,7
3738,7
3739,7
3740,5
3741,8
3742,5
3743,0
3744,7
3745,7
3746,11
3747,5
3748,11
3749,0
3750,6
3751,7
3752,7
3753,11
3754,5
3755,7
3756,5
3757,1
3758,0
3759,7
3760,11
3761,0
3762,5
3763,6
3764,8
3765,7
3766,0
3767,7
3768,8
3769,0
3770,11
3771,5
3772,11
3773,11
3774,9
3775,7
3776,0
3777,6
3778,7
3779,0
3780,8
3781,3
3782,7
3783,11
3784,6
3785,8
3786,10
3787,0
3788,6
3789,7
3790,7
3791,8
3792,0
3793,5
3794,11
3795,9
3796,6
3797,9
3798,1
3799,11
3800,0
3801,8
3802,9
3803,5
3804,3
3805,0
3806,8
3807,7
3808,11
3809,7
3810,8
3811,8
3812,7
3813,11
3814,11
3815,5
3816,1
3817,11
3818,11
3819,1
3820,7
3821,3
3822,8
3823,7
3824,0
3825,8
3826,8
3827,0
3828,5
3829,8
3830,8
3831,4
3832,6
3833,11
3834,0
3835,11
3836,0
3837,8
3838,0
3839,0
3840,1
3841,0
3842,2
3843,7
3844,6
3845,2
3846,11
3847,6
3848,4
3849,5
3850,6
3851,1
3852,6
3853,6
3854,4
3855,8
3856,8
3857,8
3858,0
3859,7
3860,6
3861,7
3862,8
3863,11
3864,6
3865,2
3866,7
3867,8
3868,8
3869,6
3870,0
3871,2
3872,5
3873,5
3874,5
3875,7
3876,6
3877,2
3878,11
3879,6
3880,2
3881,6
3882,2
3883,6
3884,7
3885,7
3886,8
3887,7
3888,11
3889,0
3890,9
3891,7
3892,6
3893,1
3894,2
3895,8
3896,0
3897,8
3898,6
3899,1
3900,10
3901,2
3902,7
3903,11
3904,6
3905,9
3906,7
3907,8
3908,5
3909,6
3910,2
3911,9
3912,11
3913,6
3914,7
3915,5
3916,7
3917,2
3918,0
3919,8
3920,0
3921,6
3922,5
3923,7
3924,0
3925,6
3926,1
3927,6
3928,11
3929,5
3930,6
3931,11
3932,5
3933,7
3934,0
3935,7
3936,11
3937,5
3938,11
3939,11
3940,1
3941,5
3942,7
3943,3
3944,9
3945,6
3946,8
3947,11
3948,7
3949,8
3950,6
3951,7
3952,5
3953,7
3954,5
3955,11
3956,8
3957,5
3958,11
3959,8
3960,8
3961,11
3962,8
3963,8
3964,0
3965,11
3966,8
3967,8
3968,3
3969,0
3970,5
3971,11
3972,7
3973,7
3974,11
3975,1
3976,0
3977,11
3978,8
3979,5
3980,5
3981,0
3982,2
3983,1
3984,4
3985,11
3986,0
3987,11
3988,11
3989,11
3990,0
3991,11
3992,2
3993,9
3994,5
3995,3
3996,11
3997,0
3998,6
3999,8
4000,0
4001,8
4002,7
4003,7
4004,0
4005,5
4006,11
4007,0
4008,7
4009,6
4010,7
4011,8
4012,0
4013,5
4014,2
4015,8
4016,11
4017,5
4018,8
4019,8
4020,7
4021,0
4022,11
4023,8
4024,7
4025,11
4026,8
4027,7
4028,0
4029,5
4030,7
4031,0
4032,8
4033,6
4034,8
4035,11
4036,7
4037,9
4038,2
4039,2
4040,4
4041,7
4042,9
4043,8
4044,0
4045,8
4046,1
4047,0
4048,2
4049,7
4050,1
4051,10
4052,8
4053,0
4054,11
4055,9
4056,8
4057,6
4058,7
4059,5
4060,7
4061,11
4062,11
4063,9
4064,7
4065,11
4066,4
4067,1
4068,8
4069,8
4070,0
4071,7
4072,0
4073,1
4074,7
4075,0
4076,7
4077,7
4078,11
4079,6
4080,6
4081,0
4082,8
4083,6
4084,8
4085,6
4086,5
4087,9
4088,0
4089,9
4090,11
4091,0
4092,6
4093,11
4094,4
4095,0
4096,7
4097,0
4098,7
4099,7
4100,0
4101,6
4102,8
4103,7
4104,8
4105,0
4106,5
4107,2
4108,2
4109,7
4110,11
4111,8
4112,11
4113,5
4114,11
4115,8
4116,8
4117,8
4118,1
4119,0
4120,7
4121,10
4122,0
4123,11
4124,6
4125,9
4126,7
4127,6
4128,7
4129,6
4130,7
4131,7
4132,7
4133,0
4134,8
4135,8
4136,8
4137,5
4138,1
4139,0
4140,0
4141,9
4142,8
4143,11
4144,11
4145,7
4146,5
4147,5
4148,7
4149,11
4150,6
4151,8
4152,7
4153,4
4154,7
4155,8
4156,8
4157,7
4158,7
4159,6
4160,9
4161,7
4162,8
4163,11
4164,6
4165,1
4166,2
4167,11
4168,8
4169,8
4170,7
4171,11
4172,7
4173,9
4174,8
4175,10
4176,2
4177,2
4178,0
4179,7
4180,0
4181,2
4182,8
4183,6
4184,8
4185,7
4186,7
4187,7
4188,2
4189,2
4190,3
4191,8
4192,5
4193,5
4194,10
4195,0
4196,6
4197,0
4198,6
4199,8
4200,7
4201,7
4202,9
4203,6
4204,0
4205,8
4206,0
4207,0
4208,0
4209,8
4210,0
4211,8
4212,2
4213,11
4214,0
4215,6
4216,5
4217,6
4218,5
4219,8
4220,7
4221,0
4222,8
4223,9
4224,2
4225,6
4226,7
4227,6
4228,6
4229,2
4230,7
4231,1
4232,9
4233,6
4234,7
4235,0
4236,7
4237,1
4238,6
4239,7
4240,4
4241,1
4242,0
4243,11
4244,6
4245,5
4246,6
4247,6
4248,0
4249,8
4250,5
4251,8
4252,5
4253,0
4254,8
4255,0
4256,0
4257,0
4258,5
4259,8
4260,6
4261,2
4262,11
4263,8
4264,8
4265,8
4266,6
4267,7
4268,8
4269,0
4270,8
4271,8
4272,0
4273,11
4274,1
4275,10
4276,11
4277,5
4278,10
4279,8
4280,0
4281,7
4282,9
4283,11
4284,6
4285,8
4286,11
4287,7
4288,6
4289,11
4290,0
4291,10
4292,0
4293,0
4294,0
4295,8
4296,2
4297,9
4298,7
4299,9
4300,3
4301,2
4302,11
4303,8
4304,8
4305,1
4306,7
4307,7
4308,8
4309,7
4310,6
4311,0
4312,3
4313,6
4314,4
4315,4
4316,1
4317,0
4318,7
4319,8
4320,11
4321,0
4322,5
4323,8
4324,6
4325,8
4326,2
4327,5
4328,0
4329,7
4330,11
4331,0
4332,0
4333,8
4334,1
4335,7
4336,8
4337,8
4338,0
4339,1
4340,7
4341,6
4342,7
4343,3
4344,8
4345,9
4346,6
4347,0
4348,8
4349,11
4350,4
4351,6
4352,2
4353,11
4354,6
4355,11
4356,7
4357,8
4358,6
4359,0
4360,3
4361,0
4362,7
4363,11
4364,6
4365,0
4366,2
4367,7
4368,11
4369,8
4370,5
4371,11
4372,2
4373,6
4374,8
4375,8
4376,8
4377,9
4378,8
4379,11
4380,11
4381,7
4382,5
4383,7
4384,0
4385,11
4386,5
4387,2
4388,7
4389,0
4390,6
4391,11
4392,9
4393,0
4394,7
4395,11
4396,7
4397,0
4398,8
4399,8
4400,11
4401,11
4402,1
4403,8
4404,4
4405,0
4406,8
4407,7
4408,0
4409,1
4410,2
4411,2
4412,8
4413,7
4414,5
4415,6
4416,11
4417,8
4418,8
4419,7
4420,2
4421,8
4422,8
4423,0
4424,11
4425,9
4426,5
4427,9
4428,7
4429,0
4430,5
4431,0
4432,7
4433,6
4434,3
4435,8
4436,4
4437,8
4438,8
4439,7
4440,8
4441,7
4442,6
4443,7
4444,7
4445,8
4446,1
4447,0
4448,11
4449,8
4450,7
4451,6
4452,1
4453,11
4454,9
4455,0
4456,7
4457,11
4458,3
4459,7
4460,6
4461,0
4462,8
4463,6
4464,9
4465,1
4466,9
4467,0
4468,6
4469,0
4470,0
4471,2
4472,11
4473,0
4474,7
4475,7
4476,4
4477,0
4478,0
4479,0
4480,1
4481,5
4482,11
4483,9
4484,11
4485,6
4486,11
4487,0
4488,10
4489,2
4490,8
4491,2
4492,8
4493,5
4494,2
4495,7
4496,6
4497,3
4498,8
4499,11
4500,0
4501,8
4502,0
4503,8
4504,11
4505,4
4506,7
4507,8
4508,0
4509,0
4510,0
4511,8
4512,9
4513,6
4514,8
4515,3
4516,8
4517,0
4518,0
4519,0
4520,5
4521,2
4522,8
4523,7
4524,11
4525,5
4526,7
4527,11
4528,0
4529,7
4530,7
4531,1
4532,5
4533,7
4534,0
4535,8
4536,11
4537,5
4538,9
4539,7
4540,4
4541,4
4542,1
4543,8
4544,7
4545,0
4546,8
4547,5
4548,11
4549,10
4550,8
4551,0
4552,5
4553,8
4554,11
4555,5
4556,7
4557,0
4558,8
4559,0
4560,7
4561,6
4562,6
4563,7
4564,1
4565,5
4566,6
4567,0
4568,7
4569,0
4570,5
4571,4
4572,11
4573,7
4574,1
4575,8
4576,9
4577,7
4578,6
4579,0
4580,0
4581,7
4582,2
4583,0
4584,11
4585,0
4586,7
4587,8
4588,2
4589,0
4590,8
4591,5
4592,7
4593,0
4594,11
4595,2
4596,7
4597,1
4598,2
4599,6
4600,1
4601,5
4602,5
4603,0
4604,9
4605,7
4606,3
4607,11
4608,0
4609,7
4610,5
4611,7
4612,0
4613,7
4614,3
4615,6
4616,6
4617,7
4618,11
4619,9
4620,5
4621,2
4622,8
4623,6
4624,7
4625,0
4626,11
4627,4
4628,10
4629,2
4630,8
4631,7
4632,11
4633,8
4634,5
4635,0
4636,9
4637,11
4638,0
4639,11
4640,5
4641,7
4642,0
4643,6
4644,9
4645,8
4646,11
4647,4
4648,0
4649,0
4650,0
4651,9
4652,7
4653,0
4654,4
4655,8
4656,5
4657,8
4658,10
4659,9
4660,6
4661,11
4662,7
4663,7
4664,2
4665,9
4666,5
4667,7
4668,11
4669,2
4670,11
4671,8
4672,6
4673,8
4674,11
4675,5
4676,7
4677,7
4678,5
4679,8
4680,11
4681,8
4682,0
4683,2
4684,8
4685,6
4686,2
4687,1
4688,5
4689,7
4690,6
4691,8
4692,2
4693,4
4694,4
4695,8
4696,6
4697,6
4698,0
4699,6
4700,4
4701,0
4702,9
4703,8
4704,8
4705,4
4706,11
4707,7
4708,7
4709,7
4710,8
4711,0
4712,4
4713,1
4714,2
4715,5
4716,0
4717,8
4718,7
4719,8
4720,11
4721,5
4722,11
4723,8
4724,4
4725,0
4726,5
4727,7
4728,11
4729,8
4730,0
4731,8
4732,4
4733,7
4734,0
4735,7
4736,9
4737,1
4738,0
4739,1
4740,6
4741,7
4742,8
4743,7
4744,6
4745,8
4746,9
4747,8
4748,5
4749,2
4750,7
4751,1
4752,0
4753,7
4754,11
4755,9
4756,6
4757,0
4758,6
4759,8
4760,7
4761,2
4762,11
4763,6
4764,5
4765,8
4766,9
4767,2
4768,0
4769,8
4770,5
4771,0
4772,7
4773,0
4774,11
4775,8
4776,8
4777,5
4778,2
4779,8
4780,6
4781,6
4782,8
4783,4
4784,2
4785,2
4786,8
4787,0
4788,9
4789,7
4790,2
4791,2
4792,6
4793,8
4794,7
4795,8
4796,8
4797,4
4798,7
4799,8
4800,5
4801,0
4802,10
4803,5
4804,7
4805,8
4806,8
4807,2
4808,0
4809,7
4810,0
4811,8
4812,7
4813,7
4814,2
4815,8
4816,3
4817,8
4818,0
4819,11
4820,11
4821,6
4822,0
4823,6
4824,7
4825,11
4826,0
4827,0
4828,7
4829,7
4830,0
4831,11
4832,7
4833,11
4834,9
4835,6
4836,11
4837,11
4838,7
4839,2
4840,8
4841,8
4842,7
4843,8
4844,8
4845,8
4846,9
4847,3
4848,0
4849,7
4850,0
4851,0
4852,1
4853,0
4854,7
4855,0
4856,9
4857,8
4858,11
4859,7
4860,0
4861,0
4862,8
4863,8
4864,5
4865,5
4866,0
4867,11
4868,1
4869,1
4870,5
4871,8
4872,2
4873,7
4874,5
4875,0
4876,0
4877,6
4878,0
4879,5
4880,8
4881,5
4882,9
4883,1
4884,7
4885,5
4886,6
4887,7
4888,0
4889,0
4890,2
4891,2
4892,8
4893,6
4894,0
4895,5
4896,9
4897,6
4898,0
4899,11
4900,0
4901,7
4902,9
4903,0
4904,11
4905,11
4906,2
4907,2
4908,5
4909,6
4910,7
4911,5
4912,6
4913,3
4914,1
4915,1
4916,11
4917,11
4918,0
4919,2
4920,8
4921,10
4922,0
4923,6
4924,6
4925,8
4926,8
4927,2
4928,6
4929,0
4930,8
4931,2
4932,6
4933,8
4934,3
4935,10
4936,11
4937,6
4938,11
4939,8
4940,8
4941,1
4942,2
4943,11
4944,8
4945,2
4946,11
4947,8
4948,5
4949,6
4950,0
4951,9
4952,5
4953,9
4954,1
4955,8
4956,0
4957,8
4958,7
4959,5
4960,5
4961,11
4962,11
4963,2
4964,11
4965,0
4966,7
4967,2
4968,6
4969,0
4970,8
4971,2
4972,6
4973,0
4974,8
4975,8
4976,9
4977,11
4978,5
4979,0
4980,7
4981,10
4982,11
4983,8
4984,7
4985,7
4986,10
4987,7
4988,0
4989,6
4990,5
4991,9
4992,0
4993,5
4994,2
4995,6
4996,0
4997,10
4998,5
4999,8
5000,7
5001,6
5002,4
5003,8
5004,0
5005,8
5006,4
5007,1
5008,7
5009,6
5010,4
5011,5
5012,5
5013,5
5014,7
5015,7
5016,0
5017,5
5018,0
5019,11
5020,7
5021,7
5022,7
5023,0
5024,5
5025,6
5026,6
5027,8
5028,0
5029,6
5030,7
5031,3
5032,8
5033,7
5034,7
5035,0
5036,11
5037,8
5038,11
5039,2
5040,3
5041,0
5042,5
5043,5
5044,8
5045,5
5046,0
5047,6
5048,9
5049,5
5050,0
5051,11
5052,6
5053,5
5054,8
5055,1
5056,0
5057,3
5058,6
5059,8
5060,0
5061,6
5062,2
5063,8
5064,0
5065,11
5066,11
5067,10
5068,11
5069,0
5070,9
5071,5
5072,2
5073,0
5074,8
5075,8
5076,2
5077,8
5078,7
5079,7
5080,9
5081,0
5082,9
5083,6
5084,6
5085,8
5086,8
5087,7
5088,8
5089,0
5090,9
5091,7
5092,0
5093,1
5094,2
5095,8
5096,2
5097,0
5098,9
5099,7
5100,4
5101,11
5102,2
5103,0
5104,7
5105,7
5106,8
5107,5
5108,8
5109,7
5110,5
5111,6
5112,11
5113,4
5114,6
5115,2
5116,0
5117,7
5118,9
5119,0
5120,10
5121,3
5122,0
5123,7
5124,8
5125,8
5126,5
5127,7
5128,6
5129,11
5130,7
5131,7
5132,5
5133,8
5134,11
5135,8
5136,11
5137,8
5138,8
5139,5
5140,9
5141,11
5142,7
5143,11
5144,11
5145,0
5146,11
5147,3
5148,0
5149,0
5150,1
5151,6
5152,2
5153,0
5154,8
5155,2
5156,8
5157,0
5158,4
5159,6
5160,2
5161,6
5162,0
5163,6
5164,0
5165,4
5166,11
5167,11
5168,6
5169,8
5170,4
5171,8
5172,4
5173,0
5174,8
5175,5
5176,0
5177,11
5178,8
5179,7
5180,11
5181,8
5182,11
5183,0
5184,11
5185,8
5186,6
5187,6
5188,0
5189,6
5190,5
5191,5
5192,7
5193,8
5194,5
5195,7
5196,6
5197,0
5198,8
5199,11
5200,0
5201,6
5202,7
5203,6
5204,11
5205,10
5206,0
5207,4
5208,6
5209,8
5210,7
5211,0
5212,0
5213,11
5214,5
5215,11
5216,10
5217,0
5218,2
5219,3
5220,10
5221,0
5222,8
5223,8
5224,6
5225,7
5226,0
5227,11
5228,7
5229,9
5230,6
5231,11
5232,1
5233,0
5234,8
5235,0
5236,1
5237,6
5238,11
5239,0
5240,7
5241,11
5242,11
5243,7
5244,6
5245,8
5246,11
5247,7
5248,8
5249,2
5250,5
5251,0
5252,2
5253,8
5254,6
5255,7
5256,6
5257,8
5258,8
5259,7
5260,5
5261,0
5262,0
5263,5
5264,9
5265,11
5266,0
5267,3
5268,5
5269,0
5270,8
5271,7
5272,7
5273,9
5274,0
5275,7
5276,6
5277,11
5278,8
5279,2
5280,2
5281,7
5282,3
5283,5
5284,6
5285,5
5286,0
5287,8
5288,6
5289,0
5290,11
5291,8
5292,0
5293,8
5294,8
5295,1
5296,7
5297,0
5298,8
5299,9
5300,7
5301,11
5302,9
5303,8
5304,0
5305,0
5306,1
5307,8
5308,9
5309,6
5310,6
5311,8
5312,4
5313,11
5314,0
5315,6
5316,0
5317,0
5318,8
5319,7
5320,6
5321,8
5322,1
5323,1
5324,0
5325,2
5326,9
5327,8
5328,6
5329,0
5330,5
5331,11
5332,6
5333,9
5334,0
5335,0
5336,7
5337,0
5338,8
5339,1
5340,0
5341,0
5342,1
5343,11
5344,0
5345,2
5346,11
5347,4
5348,5
5349,0
5350,1
5351,0
5352,1
5353,9
5354,6
5355,8
5356,8
5357,7
5358,0
5359,5
5360,7
5361,9
5362,5
5363,11
5364,6
5365,11
5366,8
5367,11
5368,10
5369,3
5370,2
5371,7
5372,5
5373,8
5374,0
5375,9
5376,6
5377,7
5378,8
5379,6
5380,7
5381,0
5382,9
5383,0
5384,9
5385,5
5386,3
5387,2
5388,11
5389,6
5390,7
5391,5
5392,2
5393,6
5394,0
5395,5
5396,0
5397,8
5398,7
5399,11
5400,0
5401,5
5402,2
5403,0
5404,2
5405,0
5406,11
5407,7
5408,6
5409,8
5410,8
5411,6
5412,6
5413,11
5414,9
5415,7
5416,5
5417,7
5418,8
5419,0
5420,8
5421,7
5422,8
5423,2
5424,2
5425,0
5426,7
5427,9
5428,6
5429,0
5430,0
5431,8
5432,7
5433,11
5434,3
5435,6
5436,1
5437,0
5438,11
5439,0
5440,0
5441,0
5442,1
5443,11
5444,2
5445,8
5446,7
5447,7
5448,7
5449,0
5450,0
5451,11
5452,7
5453,7
5454,3
5455,0
5456,8
5457,6
5458,11
5459,2
5460,0
5461,11
5462,8
5463,9
5464,8
5465,2
5466,8
5467,7
5468,8
5469,2
5470,5
5471,7
5472,0
5473,5
5474,0
5475,9
5476,11
5477,11
5478,7
5479,0
5480,7
5481,11
5482,7
5483,6
5484,8
5485,9
5486,6
5487,0
5488,0
5489,7
5490,7
5491,8
5492,8
5493,2
5494,0
5495,10
5496,7
5497,5
5498,11
5499,5
5500,11
5501,0
5502,11
5503,7
5504,6
5505,0
5506,9
5507,2
5508,5
5509,0
5510,2
5511,7
5512,9
5513,7
5514,8
5515,7
5516,11
5517,8
5518,0
5519,0
5520,10
5521,7
5522,3
5523,0
5524,5
5525,8
5526,11
5527,2
5528,6
5529,8
5530,11
5531,11
5532,1
5533,7
5534,9
5535,3
5536,0
5537,8
5538,5
5539,11
5540,0
5541,0
5542,0
5543,5
5544,7
5545,5
5546,7
5547,7
5548,8
5549,1
5550,7
5551,7
5552,7
5553,11
5554,8
5555,5
5556,6
5557,8
5558,7
5559,9
5560,6
5561,6
5562,6
5563,0
5564,11
5565,11
5566,11
5567,11
5568,2
5569,11
5570,5
5571,6
5572,0
5573,6
5574,8
5575,8
5576,11
5577,8
5578,7
5579,0
5580,6
5581,0
5582,7
5583,0
5584,8
5585,7
5586,2
5587,8
5588,0
5589,7
5590,2
5591,0
5592,7
5593,9
5594,8
5595,1
5596,8
5597,8
5598,8
5599,10
5600,1
5601,8
5602,1
5603,7
5604,8
5605,0
5606,7
5607,7
5608,7
5609,7
5610,5
5611,5
5612,11
5613,7
5614,10
5615,7
5616,5
5617,7
5618,10
5619,6
5620,5
5621,11
5622,7
5623,11
5624,7
5625,2
5626,11
5627,6
5628,7
5629,11
5630,6
5631,8
5632,9
5633,5
5634,8
5635,1
5636,6
5637,5
5638,2
5639,4
5640,7
5641,11
5642,9
5643,6
5644,11
5645,8
5646,6
5647,8
5648,8
5649,0
5650,9
5651,8
5652,11
5653,6
5654,1
5655,7
5656,2
5657,6
5658,11
5659,4
5660,11
5661,7
5662,2
5663,6
5664,3
5665,11
5666,8
5667,11
5668,11
5669,8
5670,5
5671,5
5672,7
5673,5
5674,7
5675,0
5676,11
5677,8
5678,0
5679,5
5680,7
5681,0
5682,1
5683,7
5684,7
5685,6
5686,8
5687,3
5688,0
5689,9
5690,7
5691,0
5692,0
5693,6
5694,7
5695,7
5696,0
5697,1
5698,11
5699,7
5700,2
5701,0
5702,7
5703,6
5704,7
5705,8
5706,6
5707,0
5708,6
5709,9
5710,0
5711,0
5712,6
5713,0
5714,0
5715,8
5716,8
5717,8
5718,6
5719,7
5720,5
5721,11
5722,2
5723,8
5724,7
5725,4
5726,7
5727,11
5728,0
5729,11
5730,9
5731,0
5732,1
5733,8
5734,7
5735,11
5736,7
5737,2
5738,10
5739,11
5740,1
5741,8
5742,8
5743,0
5744,11
5745,1
5746,11
5747,7
5748,1
5749,5
5750,2
5751,5
5752,8
5753,6
5754,7
5755,0
5756,8
5757,0
5758,9
5759,7
5760,2
5761,6
5762,0
5763,11
5764,1
5765,10
5766,11
5767,7
5768,4
5769,2
5770,7
5771,6
5772,11
5773,6
5774,2
5775,4
5776,0
5777,8
5778,6
5779,0
5780,0
5781,7
5782,8
5783,6
5784,0
5785,5
5786,8
5787,8
5788,5
5789,11
5790,0
5791,5
