,N_People
798,7
799,8
800,0
801,7
802,0
803,3
804,6
805,6
806,8
807,0
808,0
809,7
810,5
811,9
812,0
813,10
814,11
815,8
816,6
817,4
818,9
819,0
820,10
821,11
822,4
823,10
824,7
825,2
826,5
827,7
828,8
829,11
830,8
831,9
832,7
833,0
834,5
835,5
836,6
837,10
838,7
839,11
840,11
841,0
842,9
843,11
844,6
845,11
846,0
847,2
848,7
849,11
850,11
851,11
852,6
853,0
854,5
855,6
856,8
857,11
858,7
859,11
860,0
861,11
862,10
863,11
864,9
865,11
866,2
867,11
868,8
869,2
870,11
871,7
872,0
873,1
874,9
875,8
876,8
877,11
878,7
879,7
880,8
881,11
882,6
883,11
884,7
885,7
886,7
887,8
888,6
889,0
890,11
891,2
892,9
893,5
894,3
895,5
896,8
897,3
898,0
899,8
900,11
901,0
902,0
903,0
904,3
905,0
906,8
907,11
908,8
909,2
910,9
911,2
912,6
913,0
914,1
915,5
916,1
917,9
918,6
919,10
920,7
921,2
922,7
923,0
924,11
925,8
926,2
927,7
928,6
929,2
930,7
931,0
932,8
933,11
934,11
935,11
936,5
937,4
938,7
939,2
940,7
941,9
942,10
943,0
944,7
945,6
946,7
947,2
948,7
949,7
950,7
951,6
952,7
953,0
954,1
955,7
956,11
957,7
958,1
959,0
960,11
961,2
962,5
963,0
964,6
965,11
966,7
967,7
968,0
969,8
970,0
971,7
972,6
973,0
974,8
975,0
976,0
977,11
978,8
979,7
980,2
981,0
982,5
983,2
984,0
985,7
986,0
987,2
988,0
989,8
990,8
991,8
992,7
993,5
994,11
995,0
996,6
997,4
998,8
999,1
1000,7
1001,8
1002,10
1003,8
1004,11
1005,5
1006,0
1007,7
1008,6
1009,8
1010,8
1011,3
1012,8
1013,11
1014,8
1015,6
1016,5
1017,9
1018,9
1019,7
1020,11
1021,2
1022,7
1023,7
1024,8
1025,8
1026,7
1027,5
1028,8
1029,6
1030,11
1031,7
1032,6
1033,8
1034,0
1035,11
1036,8
1037,7
1038,1
1039,7
1040,0
1041,6
1042,7
1043,0
1044,8
1045,3
1046,4
1047,6
1048,8
1049,5
1050,8
1051,2
1052,6
1053,6
1054,0
1055,4
1056,3
1057,0
1058,10
1059,11
1060,11
1061,8
1062,11
1063,11
1064,5
1065,8
1066,7
1067,6
